id,refined_local_name,parent_id,refined_local_name_p,schema,vec_datatype_numeric,vec_datatype_text,vec_datatype_date,vec_datatype_miscellaneous,vec_constraint_pk,vec_constraint_fk,vec_constraint_notnull,vec_constraint_default,vec_constraint_unique,vec_constaint_check,concept_concat_info,concept_concat_sgtrt5,concept_concat_sgtrt5_dtype_constraints,reconstruction_error_zscore_sgtrt5,reconstruction_error_zscore_glove,reconstruction_error_lof_sgtrt5,reconstruction_error_lof_glove,reconstruction_error_01lof_sgtrt5,reconstruction_error_01lof_glove,reconstruction_error_pca2_glove,reconstruction_error_pca5_glove,reconstruction_error_pca2_sgtrt5,reconstruction_error_pca5_sgtrt5,reconstruction_error_01pca2_glove,reconstruction_error_01pca5_glove,reconstruction_error_01pca40_glove,reconstruction_error_01pca2_sgtrt5,reconstruction_error_01pca5_sgtrt5,reconstruction_error_01pca55_sgtrt5,reconstruction_error_01ae_v0_glove,reconstruction_error_01ae_v0_sgtrt5,reconstruction_error_01ae_v0_glove_b10,reconstruction_error_01ae_v0_sgtrt5_b10,reconstruction_error_ensemble_AHMb,reconstruction_error_ensemble_APC
CONCEPT_156,productline,CONCEPT_153,products,OC_MYSQL,0,1,0,0,0,0,1,0,0,0,productline:products:OC_MYSQL,products product line,products product line text not null,0.80123717,0.6846370414271599,1.0010235,0.992928667014882,1.0056087,0.986664599304606,0.087920988380753,0.060213020654777,0.0002623823,0.00023648787,0.0157328497538074,0.0129009480130044,0.0016439481550149,0.017192753,0.01575231,0.0019379487,580.64716,810.09937,708.66113,995.1135,0.31297248306282843,0.25638567385604877
CONCEPT_157,productscale,CONCEPT_153,products,OC_MYSQL,0,1,0,0,0,0,1,0,0,0,productscale:products:OC_MYSQL,products product scale,products product scale text not null,0.81635547,0.7541159841587505,1.0196799,1.0198884347504764,1.0262665,0.9900100260242722,0.1012609424813946,0.0794995338506204,0.0003701786,0.00035624873,0.0210951839726775,0.0184638229553064,0.0101206541029276,0.025016403,0.024297008,0.0062270933,627.6227,829.0262,748.1545,1006.04956,0.38786260782063153,0.35311572234898175
CONCEPT_158,productvendor,CONCEPT_153,products,OC_MYSQL,0,1,0,0,0,0,1,0,0,0,productvendor:products:OC_MYSQL,products product vendor,products product vendor text not null,0.76726407,0.6738104285085261,1.0000728,0.984833385328939,1.0038438,0.9921439672392792,0.0777872410108066,0.0683751261464748,0.00036439733,0.00035924662,0.017464251076689,0.0148112857796204,0.0064078929835288,0.024499856,0.024226451,0.0037743764,583.16077,785.7249,710.502,962.6275,0.2906531442755874,0.25352466246079747
CONCEPT_159,productdescription,CONCEPT_153,products,OC_MYSQL,0,1,0,0,0,0,1,0,0,0,productdescription:products:OC_MYSQL,products product description,products product description text not null,0.79410577,0.6015258492109993,0.99699885,0.9897647721210244,0.9984065,0.9911129924884726,0.0590423621049834,0.0354675828315778,0.00024447558,0.00022336385,0.0111463630422809,0.0085800555988082,0.0030573823159899,0.016293904,0.0150936125,0.0011897233,556.9381,784.34827,679.9807,981.86145,0.2850969062152011,0.1944650719844525
CONCEPT_160,quantityinstock,CONCEPT_153,products,OC_MYSQL,1,0,0,0,0,0,1,0,0,0,quantityinstock:products:OC_MYSQL,products quantity in stock,products quantity in stock numeric not null,0.8107168,0.9471974465314908,1.057477,1.3314564055978386,1.0584008,1.104756155954269,0.2505307776059428,0.1920526707002078,0.000451989,0.00041749584,0.03999310292889,0.0363483707574896,0.0067713103926594,0.030133424,0.027657753,0.0042088996,725.33185,817.12616,835.66125,986.35535,0.424924049209358,0.4853261751063108
CONCEPT_161,buyprice,CONCEPT_153,products,OC_MYSQL,0,0,0,0,0,0,1,0,0,0,buyprice:products:OC_MYSQL,products buy price,products buy price not null,0.82931167,0.9211296879505628,1.0435014,1.2518098891800056,1.0429265,1.0553368739679994,0.2179125825280635,0.1664329501790715,0.00041600657,0.0003891058,0.0357189504961443,0.0311392650820383,0.006746370265069,0.028298533,0.026550325,0.0046230247,712.2873,842.63806,823.62585,1024.7343,0.45191393345753567,0.48657510936367626
CONCEPT_162,msrp,CONCEPT_153,products,OC_MYSQL,0,0,0,0,0,0,1,0,0,0,msrp:products:OC_MYSQL,products m srp,products m srp not null,0.85528976,0.8646406889606126,1.0935065,1.1478409154701152,1.0989684,1.0113109512202494,0.1603590497803441,0.1393138691681013,0.0005006348,0.00048909266,0.0308860307747507,0.0278637260889087,0.014682204258475,0.033864733,0.033082884,0.0023343696,694.00604,885.84607,809.4717,1065.5083,0.5830311513947923,0.5722638193381135
CONCEPT_165,customerid,CONCEPT_164,customer,OC_HANA,1,0,0,0,1,0,0,0,0,0,customerid:customer:OC_HANA,customer customer id,customer customer id numeric primary key,0.664102,0.5300004595184246,0.9784724,0.987346010887564,0.97865963,0.9991603821192904,0.0621528810513688,0.0313828527692938,0.00030978656,8.6865904e-05,0.0210838507835798,0.0107134280863724,0.002735228595096,0.019673672,0.0057875067,0.0016731507,536.54285,754.7,660.9425,962.8928,0.17898052711811513,0.1486139125415154
CONCEPT_166,cityid,CONCEPT_164,customer,OC_HANA,1,0,0,0,0,0,0,0,0,0,cityid:customer:OC_HANA,customer city id,customer city id numeric,0.71840096,0.654272518277421,1.0524627,1.0176057400082956,1.0547671,1.0266031963229834,0.1073937340202574,0.0760408733203453,0.00043411102,0.00024251368,0.0282284238100064,0.0172330460474444,0.0016566860804213,0.028028196,0.015887538,0.0015241705,588.84735,792.0269,712.75934,1002.2461,0.3634161554369242,0.3524036340810935
CONCEPT_167,countryid,CONCEPT_164,customer,OC_HANA,1,0,0,0,0,0,0,0,0,0,countryid:customer:OC_HANA,customer country id,customer country id numeric,0.7029245,0.6458698733109858,1.0229781,1.014171463598571,1.019629,1.0210895063928231,0.0977566708269853,0.0745877152559496,0.0003806328,0.00016029376,0.0267961995416879,0.0164658929497042,0.0020737984351394,0.02418147,0.0105834715,0.0014416473,570.1671,775.0292,702.68335,976.42755,0.28300073233777884,0.27921547313538697
